"account","period","start_date","end_date","commodity","value"
"Net position","2012-01-01","2012-01-01","2012-01-01","USD","120077.70"
"Net position","2012-01-02","2012-01-02","2012-01-02","USD","120077.70"
"Net position","2012-01-03","2012-01-03","2012-01-03","USD","120077.70"
"Net position","2012-01-04","2012-01-04","2012-01-04","USD","120051.38"
"Net position","2012-01-05","2012-01-05","2012-01-05","USD","120190.61"
"Net position","2012-01-06","2012-01-06","2012-01-06","USD","117712.72"
"Net position","2012-01-07","2012-01-07","2012-01-07","USD","117712.72"
"Net position","2012-01-08","2012-01-08","2012-01-08","USD","117623.56"
"Net position","2012-01-09","2012-01-09","2012-01-09","USD","117623.56"
"Net position","2012-01-10","2012-01-10","2012-01-10","USD","117623.56"
"Net position","2012-01-11","2012-01-11","2012-01-11","USD","117587.12"
"Net position","2012-01-12","2012-01-12","2012-01-12","USD","117587.12"
"Net position","2012-01-13","2012-01-13","2012-01-13","USD","117587.12"
"Net position","2012-01-14","2012-01-14","2012-01-14","USD","117557.90"
"Net position","2012-01-15","2012-01-15","2012-01-15","USD","117557.90"
"Net position","2012-01-16","2012-01-16","2012-01-16","USD","117557.90"
"Net position","2012-01-17","2012-01-17","2012-01-17","USD","117557.90"
"Net position","2012-01-18","2012-01-18","2012-01-18","USD","117557.90"
"Net position","2012-01-19","2012-01-19","2012-01-19","USD","117569.72"
"Net position","2012-01-20","2012-01-20","2012-01-20","USD","117569.72"
"Net position","2012-01-21","2012-01-21","2012-01-21","USD","117569.72"
"Net position","2012-01-22","2012-01-22","2012-01-22","USD","117459.43"
"Net position","2012-01-23","2012-01-23","2012-01-23","USD","117459.43"
"Net position","2012-01-24","2012-01-24","2012-01-24","USD","117459.43"
"Net position","2012-01-25","2012-01-25","2012-01-25","USD","117459.43"
"Net position","2012-01-26","2012-01-26","2012-01-26","USD","117391.55"
"Net position","2012-01-27","2012-01-27","2012-01-27","USD","117296.35"
"Net position","2012-01-28","2012-01-28","2012-01-28","USD","117296.35"
"Net position","2012-01-29","2012-01-29","2012-01-29","USD","117176.35"
"Net position","2012-01-30","2012-01-30","2012-01-30","USD","117176.35"
"Net position","2012-01-31","2012-01-31","2012-01-31","USD","117176.35"
"Net position","2012-02-01","2012-02-01","2012-02-01","USD","117150.51"
"Net position","2012-02-02","2012-02-02","2012-02-02","USD","117305.73"
"Net position","2012-02-03","2012-02-03","2012-02-03","USD","117255.57"
"Net position","2012-02-04","2012-02-04","2012-02-04","USD","117214.84"
"Net position","2012-02-05","2012-02-05","2012-02-05","USD","114814.84"
"Net position","2012-02-06","2012-02-06","2012-02-06","USD","114814.84"
"Net position","2012-02-07","2012-02-07","2012-02-07","USD","114814.84"
"Net position","2012-02-08","2012-02-08","2012-02-08","USD","114786.73"
"Net position","2012-02-09","2012-02-09","2012-02-09","USD","114700.61"
"Net position","2012-02-10","2012-02-10","2012-02-10","USD","114700.61"
