"account","period","start_date","end_date","commodity","value"
"expenses","2012-01-03","2012-01-03","2012-01-03","USD","0"
"expenses","2012-01-04","2012-01-04","2012-01-04","USD","26.32"
"expenses","2012-01-05","2012-01-05","2012-01-05","USD","112.89"
"expenses","2012-01-06","2012-01-06","2012-01-06","USD","2477.89"
"expenses","2012-01-07","2012-01-07","2012-01-07","USD","0"
"expenses","2012-01-08","2012-01-08","2012-01-08","USD","89.16"
"expenses","2012-01-09","2012-01-09","2012-01-09","USD","0"
"expenses","2012-01-10","2012-01-10","2012-01-10","USD","0"
"expenses","2012-01-11","2012-01-11","2012-01-11","USD","36.44"
"expenses","2012-01-12","2012-01-12","2012-01-12","USD","0"
"expenses","2012-01-13","2012-01-13","2012-01-13","USD","0"
"expenses","2012-01-14","2012-01-14","2012-01-14","USD","29.22"
"expenses","2012-01-15","2012-01-15","2012-01-15","USD","0"
"expenses","2012-01-16","2012-01-16","2012-01-16","USD","0"
"expenses","2012-01-17","2012-01-17","2012-01-17","USD","0"
"expenses","2012-01-18","2012-01-18","2012-01-18","USD","0"
"expenses","2012-01-19","2012-01-19","2012-01-19","USD","240.30"
"expenses","2012-01-20","2012-01-20","2012-01-20","USD","0"
"expenses","2012-01-21","2012-01-21","2012-01-21","USD","0"
"expenses","2012-01-22","2012-01-22","2012-01-22","USD","110.29"
"expenses","2012-01-23","2012-01-23","2012-01-23","USD","0"
"expenses","2012-01-24","2012-01-24","2012-01-24","USD","0"
"expenses","2012-01-25","2012-01-25","2012-01-25","USD","0"
"expenses","2012-01-26","2012-01-26","2012-01-26","USD","67.88"
"expenses","2012-01-27","2012-01-27","2012-01-27","USD","95.20"
"expenses","2012-01-28","2012-01-28","2012-01-28","USD","0"
"expenses","2012-01-29","2012-01-29","2012-01-29","USD","120.00"
"expenses","2012-01-30","2012-01-30","2012-01-30","USD","0"
"expenses","2012-01-31","2012-01-31","2012-01-31","USD","0"
"expenses","2012-02-01","2012-02-01","2012-02-01","USD","25.84"
"expenses","2012-02-02","2012-02-02","2012-02-02","USD","96.90"
"expenses","2012-02-03","2012-02-03","2012-02-03","USD","50.16"
"expenses","2012-02-04","2012-02-04","2012-02-04","USD","40.73"
"expenses","2012-02-05","2012-02-05","2012-02-05","USD","2400.00"
"expenses","2012-02-06","2012-02-06","2012-02-06","USD","0"
"expenses","2012-02-07","2012-02-07","2012-02-07","USD","0"
"expenses","2012-02-08","2012-02-08","2012-02-08","USD","28.11"
"expenses","2012-02-09","2012-02-09","2012-02-09","USD","86.12"
"expenses","2012-02-10","2012-02-10","2012-02-10","USD","0"
"expenses","2012-02-11","2012-02-11","2012-02-11","USD","41.63"
"expenses","2012-02-12","2012-02-12","2012-02-12","USD","0"
"expenses","2012-02-13","2012-02-13","2012-02-13","USD","0"
"expenses","2012-02-14","2012-02-14","2012-02-14","USD","0"
"expenses","2012-02-15","2012-02-15","2012-02-15","USD","66.76"
"expenses","2012-02-16","2012-02-16","2012-02-16","USD","115.79"
"expenses","2012-02-17","2012-02-17","2012-02-17","USD","0"
"expenses","2012-02-18","2012-02-18","2012-02-18","USD","12.94"
"expenses","2012-02-19","2012-02-19","2012-02-19","USD","0"
"expenses","2012-02-20","2012-02-20","2012-02-20","USD","16.37"
"expenses","2012-02-21","2012-02-21","2012-02-21","USD","0"
"expenses","2012-02-22","2012-02-22","2012-02-22","USD","0"
"expenses","2012-02-23","2012-02-23","2012-02-23","USD","79.89"
"expenses","2012-02-24","2012-02-24","2012-02-24","USD","39.36"
"expenses","2012-02-25","2012-02-25","2012-02-25","USD","68.11"
"expenses","2012-02-26","2012-02-26","2012-02-26","USD","0"
"expenses","2012-02-27","2012-02-27","2012-02-27","USD","32.95"
"expenses","2012-02-28","2012-02-28","2012-02-28","USD","120.00"
"expenses","2012-02-29","2012-02-29","2012-02-29","USD","0"
"expenses","2012-03-01","2012-03-01","2012-03-01","USD","162.44"
"expenses","2012-03-02","2012-03-02","2012-03-02","USD","0"
"expenses","2012-03-03","2012-03-03","2012-03-03","USD","0"
"expenses","2012-03-04","2012-03-04","2012-03-04","USD","2417.61"
"expenses","2012-03-05","2012-03-05","2012-03-05","USD","40.20"
"expenses","2012-03-06","2012-03-06","2012-03-06","USD","0"
"expenses","2012-03-07","2012-03-07","2012-03-07","USD","25.19"
"expenses","2012-03-08","2012-03-08","2012-03-08","USD","0"
"expenses","2012-03-09","2012-03-09","2012-03-09","USD","65.00"
"expenses","2012-03-10","2012-03-10","2012-03-10","USD","0"
"expenses","2012-03-11","2012-03-11","2012-03-11","USD","60.08"
"expenses","2012-03-12","2012-03-12","2012-03-12","USD","0"
"expenses","2012-03-13","2012-03-13","2012-03-13","USD","0"
"expenses","2012-03-14","2012-03-14","2012-03-14","USD","31.70"
"expenses","2012-03-15","2012-03-15","2012-03-15","USD","96.90"
"expenses","2012-03-16","2012-03-16","2012-03-16","USD","0"
"expenses","2012-03-17","2012-03-17","2012-03-17","USD","54.08"
"expenses","2012-03-18","2012-03-18","2012-03-18","USD","32.29"
"expenses","2012-03-19","2012-03-19","2012-03-19","USD","0"
"expenses","2012-03-20","2012-03-20","2012-03-20","USD","0"
"expenses","2012-03-21","2012-03-21","2012-03-21","USD","80.12"
"expenses","2012-03-22","2012-03-22","2012-03-22","USD","20.44"
"expenses","2012-03-23","2012-03-23","2012-03-23","USD","28.67"
"expenses","2012-03-24","2012-03-24","2012-03-24","USD","25.43"
"expenses","2012-03-25","2012-03-25","2012-03-25","USD","0"
"expenses","2012-03-26","2012-03-26","2012-03-26","USD","0"
"expenses","2012-03-27","2012-03-27","2012-03-27","USD","0"
"expenses","2012-03-28","2012-03-28","2012-03-28","USD","191.20"
"expenses","2012-03-29","2012-03-29","2012-03-29","USD","162.38"
"expenses","2012-03-30","2012-03-30","2012-03-30","USD","18.03"
"expenses","2012-03-31","2012-03-31","2012-03-31","USD","0"
"expenses","2012-04-01","2012-04-01","2012-04-01","USD","0"
"expenses","2012-04-02","2012-04-02","2012-04-02","USD","17.66"
"expenses","2012-04-03","2012-04-03","2012-04-03","USD","2400.00"
"expenses","2012-04-04","2012-04-04","2012-04-04","USD","34.58"
"expenses","2012-04-05","2012-04-05","2012-04-05","USD","0"
"expenses","2012-04-06","2012-04-06","2012-04-06","USD","0"
"expenses","2012-04-07","2012-04-07","2012-04-07","USD","0"
"expenses","2012-04-08","2012-04-08","2012-04-08","USD","92.16"
