"account","period","start_date","end_date","commodity","value"
"Total assets including superannuation","2012-01-01","2012-01-01","2012-01-01","USD","20077.70"
"Total assets including superannuation","2012-01-02","2012-01-02","2012-01-02","USD","20077.70"
"Total assets including superannuation","2012-01-03","2012-01-03","2012-01-03","USD","20077.70"
"Total assets including superannuation","2012-01-04","2012-01-04","2012-01-04","USD","20073.70"
"Total assets including superannuation","2012-01-05","2012-01-05","2012-01-05","USD","21428.92"
"Total assets including superannuation","2012-01-06","2012-01-06","2012-01-06","USD","19628.92"
"Total assets including superannuation","2012-01-07","2012-01-07","2012-01-07","USD","19628.92"
"Total assets including superannuation","2012-01-08","2012-01-08","2012-01-08","USD","19423.56"
"Total assets including superannuation","2012-01-09","2012-01-09","2012-01-09","USD","17640.26"
"Total assets including superannuation","2012-01-10","2012-01-10","2012-01-10","USD","17640.26"
"Total assets including superannuation","2012-01-11","2012-01-11","2012-01-11","USD","17640.26"
"Total assets including superannuation","2012-01-12","2012-01-12","2012-01-12","USD","17640.26"
"Total assets including superannuation","2012-01-13","2012-01-13","2012-01-13","USD","17640.26"
"Total assets including superannuation","2012-01-14","2012-01-14","2012-01-14","USD","17640.26"
"Total assets including superannuation","2012-01-15","2012-01-15","2012-01-15","USD","17640.26"
"Total assets including superannuation","2012-01-16","2012-01-16","2012-01-16","USD","17640.26"
"Total assets including superannuation","2012-01-17","2012-01-17","2012-01-17","USD","17640.26"
"Total assets including superannuation","2012-01-18","2012-01-18","2012-01-18","USD","17640.26"
"Total assets including superannuation","2012-01-19","2012-01-19","2012-01-19","USD","18995.48"
"Total assets including superannuation","2012-01-20","2012-01-20","2012-01-20","USD","19595.48"
"Total assets including superannuation","2012-01-21","2012-01-21","2012-01-21","USD","19595.48"
"Total assets including superannuation","2012-01-22","2012-01-22","2012-01-22","USD","19515.42"
"Total assets including superannuation","2012-01-23","2012-01-23","2012-01-23","USD","17732.53"
"Total assets including superannuation","2012-01-24","2012-01-24","2012-01-24","USD","17732.53"
"Total assets including superannuation","2012-01-25","2012-01-25","2012-01-25","USD","17732.53"
"Total assets including superannuation","2012-01-26","2012-01-26","2012-01-26","USD","17732.53"
"Total assets including superannuation","2012-01-27","2012-01-27","2012-01-27","USD","17732.53"
"Total assets including superannuation","2012-01-28","2012-01-28","2012-01-28","USD","17732.53"
"Total assets including superannuation","2012-01-29","2012-01-29","2012-01-29","USD","17732.53"
"Total assets including superannuation","2012-01-30","2012-01-30","2012-01-30","USD","17732.53"
"Total assets including superannuation","2012-01-31","2012-01-31","2012-01-31","USD","17732.53"
"Total assets including superannuation","2012-02-01","2012-02-01","2012-02-01","USD","17732.53"
"Total assets including superannuation","2012-02-02","2012-02-02","2012-02-02","USD","19087.75"
"Total assets including superannuation","2012-02-03","2012-02-03","2012-02-03","USD","19687.75"
"Total assets including superannuation","2012-02-04","2012-02-04","2012-02-04","USD","19683.75"
"Total assets including superannuation","2012-02-05","2012-02-05","2012-02-05","USD","17283.75"
"Total assets including superannuation","2012-02-06","2012-02-06","2012-02-06","USD","15500.76"
"Total assets including superannuation","2012-02-07","2012-02-07","2012-02-07","USD","15500.76"
"Total assets including superannuation","2012-02-08","2012-02-08","2012-02-08","USD","15500.76"
"Total assets including superannuation","2012-02-09","2012-02-09","2012-02-09","USD","15435.76"
"Total assets including superannuation","2012-02-10","2012-02-10","2012-02-10","USD","15435.76"
"Total assets including superannuation","2012-02-11","2012-02-11","2012-02-11","USD","14709.80"
"Total assets including superannuation","2012-02-12","2012-02-12","2012-02-12","USD","14709.80"
"Total assets including superannuation","2012-02-13","2012-02-13","2012-02-13","USD","14709.80"
"Total assets including superannuation","2012-02-14","2012-02-14","2012-02-14","USD","14709.80"
"Total assets including superannuation","2012-02-15","2012-02-15","2012-02-15","USD","14709.80"
"Total assets including superannuation","2012-02-16","2012-02-16","2012-02-16","USD","16065.02"
"Total assets including superannuation","2012-02-17","2012-02-17","2012-02-17","USD","16665.02"
"Total assets including superannuation","2012-02-18","2012-02-18","2012-02-18","USD","16665.02"
"Total assets including superannuation","2012-02-19","2012-02-19","2012-02-19","USD","16665.02"
"Total assets including superannuation","2012-02-20","2012-02-20","2012-02-20","USD","14882.67"
"Total assets including superannuation","2012-02-21","2012-02-21","2012-02-21","USD","14882.67"
"Total assets including superannuation","2012-02-22","2012-02-22","2012-02-22","USD","14882.67"
